timestamp,j0_pos,j0_vel,j1_pos,j1_vel,j2_pos,j2_vel,j3_pos,j3_vel,j4_pos,j4_vel,j5_pos,j5_vel,j6_pos,j6_vel,j7_pos,j7_vel,j8_pos,j8_vel,j9_pos,j9_vel
103.4588,12.500000,45.000000,0.091744,0.010990,1.920539,-0.032967,-2.398146,0.010990,-0.517471,0.010990,-0.006294,0.010990,0.080300,0.010990,-1.790456,0.010990,2.263485,-0.010990,0.601015,-0.010990
103.4690,12.500000,45.000000,0.092126,0.054947,1.920539,-0.032967,-2.398527,0.010990,-0.517471,0.010990,-0.006676,-0.010990,0.080300,0.010990,-1.790456,0.010990,2.263485,-0.010990,0.601015,0.032967
103.4788,12.500000,45.000000,0.092126,0.032967,1.920920,-0.010990,-2.398527,0.010990,-0.517471,0.010990,-0.006294,0.010990,0.080300,0.032967,-1.790456,0.010990,2.263485,0.010990,0.601015,0.032967
103.4887,12.500000,45.000000,0.092126,0.010990,1.920920,0.010990,-2.398146,-0.010990,-0.517090,0.032967,-0.006294,0.032967,0.080300,0.010990,-1.790456,0.010990,2.263485,0.010990,0.601015,-0.010990
103.4988,12.500000,45.000000,0.092126,0.010990,1.920920,0.010990,-2.398527,0.010990,-0.517090,0.010990,-0.006294,0.032967,0.080300,0.010990,-1.790456,-0.010990,2.263485,0.010990,0.601015,-0.010990
103.5089,12.500000,45.000000,0.091744,0.010990,1.920920,-0.032967,-2.398527,-0.010990,-0.517471,0.010990,-0.006294,-0.010990,0.080300,0.032967,-1.790456,-0.010990,2.263485,0.010990,0.601015,0.032967
103.5188,12.500000,45.000000,0.092126,-0.010990,1.920539,-0.010990,-2.398146,0.010990,-0.517090,0.032967,-0.006294,0.010990,0.080300,0.010990,-1.790456,-0.032967,2.263485,0.010990,0.601015,0.010990
103.5287,12.500000,45.000000,0.092126,0.010990,1.920539,0.010990,-2.398527,0.010990,-0.517471,0.010990,-0.006294,0.032967,0.079919,0.010990,-1.790456,0.010990,2.263485,0.010990,0.601015,0.010990
103.5388,12.500000,45.000000,0.091744,-0.010990,1.920539,-0.010990,-2.398146,0.032967,-0.517471,-0.010990,-0.006294,0.032967,0.080300,0.010990,-1.790456,0.010990,2.263485,0.010990,0.601015,0.010990
103.5487,12.500000,45.000000,0.092126,0.010990,1.920539,0.010990,-2.398146,0.010990,-0.517471,0.032967,-0.006294,0.010990,0.079919,0.032967,-1.790456,-0.010990,2.263485,0.032967,0.601015,0.054947
103.5588,12.500000,45.000000,0.092126,0.010990,1.920539,-0.010990,-2.398527,0.010990,-0.517471,0.010990,-0.006294,-0.010990,0.080300,0.010990,-1.790456,-0.010990,2.263485,-0.010990,0.601015,0.010990
